[-3.6673970222473145, 4.613584518432617]
[-4.43638277053833, 3.9321072101593018]
[-3.6440086364746094, 3.743842840194702]
[-3.5050301551818848, 3.459695816040039]
[-4.083525657653809, 4.21264123916626]
[-3.5803894996643066, 4.016229629516602]
[-4.294524669647217, 4.40266227722168]
[-3.902207136154175, 3.935307264328003]
[-4.582737445831299, 4.310081481933594]
[-3.2655692100524902, 4.226001262664795]
[2.707629442214966, -3.2072970867156982]
[2.8702340126037598, -3.3256754875183105]
[2.360461950302124, -3.4166224002838135]
[3.4391822814941406, -2.9256374835968018]
[3.3897593021392822, -4.1896820068359375]
[2.879180908203125, -3.3629555702209473]
[2.345668315887451, -2.613738775253296]
[2.8287220001220703, -2.953186511993408]
[2.9988362789154053, -3.2530527114868164]
[2.6544270515441895, -3.5738306045532227]
[0.16021648049354553, 3.4086990356445312]
[-0.24548472464084625, 2.8060641288757324]
[0.48708999156951904, 2.585719585418701]
[0.295762836933136, 2.6681294441223145]
[-0.825709342956543, 2.9451050758361816]
[-0.42215439677238464, 3.2429134845733643]
[-0.24224410951137543, 3.174001455307007]
[-0.6812363266944885, 2.7604610919952393]
[0.29149073362350464, 3.0105059146881104]
[0.6254846453666687, 3.2218520641326904]
[3.430722713470459, -2.8372557163238525]
[2.8582260608673096, -2.949955940246582]
[3.200160503387451, -3.333275079727173]
[3.354329824447632, -3.74981689453125]
[2.941749334335327, -3.1778101921081543]
[3.207825183868408, -2.997288227081299]
[3.2664449214935303, -3.493382692337036]
[3.1235873699188232, -3.304629325866699]
[2.889155387878418, -3.8440663814544678]
[2.678036689758301, -3.6449999809265137]
